number,value,datetime_start,datetime_complete,duration,params_drop_path_rate,params_dropout,params_encoder_lr_mult,params_freeze_mode,params_head_lr_mult,params_lr,user_attrs_checkpoint_path,user_attrs_config_path,user_attrs_metric_file,user_attrs_metric_key,user_attrs_result_dir,state
0,,2026-06-09 02:01:18.318797,2026-06-09 02:09:05.796844,0 days 00:07:47.478047,0.1,0.05,1.0,full,3.0,0.00012,,,,,,FAIL
1,0.7201364636421204,2026-06-09 02:09:13.924000,2026-06-09 02:54:17.246070,0 days 00:45:03.322070,0.15,0.1,1.0,full,3.0,0.00012,outputs/tuning/segformer/trials/trial_0001/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0001.yaml,outputs/tuning/segformer/results/trial_0001/train.json,best_miou,outputs/tuning/segformer/results/trial_0001,COMPLETE
2,0.7147551774978638,2026-06-09 02:54:17.276502,2026-06-09 03:39:12.628456,0 days 00:44:55.351954,0.1,0.1,1.0,full,3.0,0.0001,outputs/tuning/segformer/trials/trial_0002/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0002.yaml,outputs/tuning/segformer/results/trial_0002/train.json,best_miou,outputs/tuning/segformer/results/trial_0002,COMPLETE
3,0.7181452512741089,2026-06-09 03:39:12.662137,2026-06-09 04:24:21.429080,0 days 00:45:08.766943,0.05,0.1,1.0,full,5.0,0.0001,outputs/tuning/segformer/trials/trial_0003/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0003.yaml,outputs/tuning/segformer/results/trial_0003/train.json,best_miou,outputs/tuning/segformer/results/trial_0003,COMPLETE
4,0.715411365032196,2026-06-09 04:24:21.465095,2026-06-09 05:09:13.260929,0 days 00:44:51.795834,0.05,0.05,1.0,full,4.0,0.00012,outputs/tuning/segformer/trials/trial_0004/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0004.yaml,outputs/tuning/segformer/results/trial_0004/train.json,best_miou,outputs/tuning/segformer/results/trial_0004,COMPLETE
5,0.7203961610794067,2026-06-09 05:09:13.286113,2026-06-09 05:54:03.444171,0 days 00:44:50.158058,0.1,0.05,1.0,full,5.0,0.0001,outputs/tuning/segformer/trials/trial_0005/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0005.yaml,outputs/tuning/segformer/results/trial_0005/train.json,best_miou,outputs/tuning/segformer/results/trial_0005,COMPLETE
6,0.7161369323730469,2026-06-09 05:54:03.488403,2026-06-09 06:39:07.695665,0 days 00:45:04.207262,0.15,0.1,1.0,full,5.0,8e-05,outputs/tuning/segformer/trials/trial_0006/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0006.yaml,outputs/tuning/segformer/results/trial_0006/train.json,best_miou,outputs/tuning/segformer/results/trial_0006,COMPLETE
7,0.7165495157241821,2026-06-09 06:39:07.729885,2026-06-09 07:24:22.787957,0 days 00:45:15.058072,0.05,0.05,1.0,full,3.0,0.0001,outputs/tuning/segformer/trials/trial_0007/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0007.yaml,outputs/tuning/segformer/results/trial_0007/train.json,best_miou,outputs/tuning/segformer/results/trial_0007,COMPLETE
8,0.7144361734390259,2026-06-09 07:24:22.817001,2026-06-09 08:09:52.027001,0 days 00:45:29.210000,0.1,0.1,1.0,full,3.0,8e-05,outputs/tuning/segformer/trials/trial_0008/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0008.yaml,outputs/tuning/segformer/results/trial_0008/train.json,best_miou,outputs/tuning/segformer/results/trial_0008,COMPLETE
9,0.7173312306404114,2026-06-09 08:09:52.050330,2026-06-09 08:55:09.219021,0 days 00:45:17.168691,0.15,0.1,1.0,full,3.0,0.00012,outputs/tuning/segformer/trials/trial_0009/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0009.yaml,outputs/tuning/segformer/results/trial_0009/train.json,best_miou,outputs/tuning/segformer/results/trial_0009,COMPLETE
10,0.7231466174125671,2026-06-09 08:55:09.245513,2026-06-09 09:40:32.749486,0 days 00:45:23.503973,0.15,0.05,1.0,full,4.0,0.00012,outputs/tuning/segformer/trials/trial_0010/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0010.yaml,outputs/tuning/segformer/results/trial_0010/train.json,best_miou,outputs/tuning/segformer/results/trial_0010,COMPLETE
11,0.7219337821006775,2026-06-09 09:40:32.783583,2026-06-09 10:25:21.380739,0 days 00:44:48.597156,0.15,0.05,1.0,full,4.0,0.00012,outputs/tuning/segformer/trials/trial_0011/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0011.yaml,outputs/tuning/segformer/results/trial_0011/train.json,best_miou,outputs/tuning/segformer/results/trial_0011,COMPLETE
12,0.7222692966461182,2026-06-09 10:25:21.400987,2026-06-09 11:04:59.699091,0 days 00:39:38.298104,0.15,0.05,1.0,full,4.0,0.00012,outputs/tuning/segformer/trials/trial_0012/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0012.yaml,outputs/tuning/segformer/results/trial_0012/train.json,best_miou,outputs/tuning/segformer/results/trial_0012,COMPLETE
13,0.7228666543960571,2026-06-09 11:04:59.720938,2026-06-09 11:35:44.711465,0 days 00:30:44.990527,0.15,0.05,1.0,full,4.0,0.00012,outputs/tuning/segformer/trials/trial_0013/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0013.yaml,outputs/tuning/segformer/results/trial_0013/train.json,best_miou,outputs/tuning/segformer/results/trial_0013,COMPLETE
14,,2026-06-09 11:35:44.730409,2026-06-09 11:35:47.628554,0 days 00:00:02.898145,0.15,0.05,1.0,full,4.0,0.00012,,,,,,FAIL
15,,2026-06-09 13:24:36.501517,2026-06-09 13:24:58.777353,0 days 00:00:22.275836,0.15,0.05,1.0,full,4.0,0.00012,,,,,,FAIL
16,,2026-06-09 13:36:05.765711,2026-06-09 13:36:20.581759,0 days 00:00:14.816048,0.15,0.05,1.0,full,4.0,0.00012,,,,,,FAIL
17,0.7236323952674866,2026-06-09 13:36:20.749461,2026-06-09 14:06:40.949265,0 days 00:30:20.199804,0.15,0.05,1.0,full,4.0,0.00012,outputs/tuning/segformer/trials/trial_0017/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0017.yaml,outputs/tuning/segformer/results/trial_0017/train.json,best_miou,outputs/tuning/segformer/results/trial_0017,COMPLETE
18,,2026-06-09 14:06:41.080506,2026-06-09 14:17:07.205012,0 days 00:10:26.124506,0.15,0.05,1.0,full,4.0,0.00012,,,,,,FAIL
19,,2026-06-09 14:17:07.343185,2026-06-09 14:17:43.713510,0 days 00:00:36.370325,0.15,0.05,1.0,full,4.0,0.00012,,,,,,FAIL
20,,2026-06-09 14:17:43.885867,,,0.15,0.05,1.0,full,4.0,0.00012,,,,,,RUNNING
21,0.7195109128952026,2026-06-09 14:23:51.387603,2026-06-09 14:52:11.678965,0 days 00:28:20.291362,0.15,0.05,1.0,full,4.0,0.00012,outputs/tuning/segformer/trials/trial_0021/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0021.yaml,outputs/tuning/segformer/results/trial_0021/train.json,best_miou,outputs/tuning/segformer/results/trial_0021,COMPLETE
22,0.7221061587333679,2026-06-09 14:52:11.692073,2026-06-09 15:25:17.501205,0 days 00:33:05.809132,0.15,0.05,1.0,full,4.0,0.00012,outputs/tuning/segformer/trials/trial_0022/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0022.yaml,outputs/tuning/segformer/results/trial_0022/train.json,best_miou,outputs/tuning/segformer/results/trial_0022,COMPLETE
23,,2026-06-09 15:25:17.530512,,,0.15,0.05,1.0,full,4.0,8e-05,,,,,,RUNNING
24,0.7195932269096375,2026-06-09 21:47:16.049189,2026-06-09 22:25:29.118332,0 days 00:38:13.069143,0.15,0.05,1.0,full,4.0,8e-05,outputs/tuning/segformer/trials/trial_0024/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0024.yaml,outputs/tuning/segformer/results/trial_0024/train.json,best_miou,outputs/tuning/segformer/results/trial_0024,COMPLETE
25,,2026-06-09 22:25:29.182251,2026-06-09 22:45:05.475351,0 days 00:19:36.293100,0.15,0.05,1.0,full,4.0,0.00012,,,,,,FAIL
26,0.7236763834953308,2026-06-09 22:46:41.278547,2026-06-09 23:23:38.042928,0 days 00:36:56.764381,0.15,0.05,1.0,full,4.0,0.00012,outputs/tuning/segformer/trials/trial_0026/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0026.yaml,outputs/tuning/segformer/results/trial_0026/train.json,best_miou,outputs/tuning/segformer/results/trial_0026,COMPLETE
27,,2026-06-09 23:23:38.074057,,,0.1,0.05,1.0,full,4.0,0.00012,,,,,,RUNNING
28,,2026-06-10 09:48:00.168390,2026-06-10 09:48:15.894365,0 days 00:00:15.725975,0.1,0.05,1.0,full,4.0,0.00012,,,,,,FAIL
29,,2026-06-10 09:48:16.080688,2026-06-10 09:48:32.384466,0 days 00:00:16.303778,0.1,0.05,1.0,full,4.0,0.00012,,,,,,FAIL
30,,2026-06-10 09:48:32.547923,2026-06-10 09:48:49.188238,0 days 00:00:16.640315,0.1,0.05,1.0,full,4.0,0.00012,,,,,,FAIL
31,,2026-06-10 09:48:49.328080,,,0.05,0.05,1.0,full,4.0,0.00012,,,,,,RUNNING
32,0.7170863747596741,2026-06-10 09:52:33.369131,2026-06-10 10:29:14.442935,0 days 00:36:41.073804,0.1,0.05,1.0,full,4.0,0.00012,outputs/tuning/segformer/trials/trial_0032/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0032.yaml,outputs/tuning/segformer/results/trial_0032/train.json,best_miou,outputs/tuning/segformer/results/trial_0032,COMPLETE
33,0.7138200998306274,2026-06-10 10:29:14.599456,2026-06-10 11:05:38.440065,0 days 00:36:23.840609,0.05,0.05,1.0,full,4.0,8e-05,outputs/tuning/segformer/trials/trial_0033/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0033.yaml,outputs/tuning/segformer/results/trial_0033/train.json,best_miou,outputs/tuning/segformer/results/trial_0033,COMPLETE
34,0.7188611030578613,2026-06-10 11:05:38.597644,2026-06-10 11:43:32.021873,0 days 00:37:53.424229,0.15,0.05,1.0,full,5.0,0.00012,outputs/tuning/segformer/trials/trial_0034/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0034.yaml,outputs/tuning/segformer/results/trial_0034/train.json,best_miou,outputs/tuning/segformer/results/trial_0034,COMPLETE
35,0.722453773021698,2026-06-10 11:43:32.259408,2026-06-10 12:20:57.656878,0 days 00:37:25.397470,0.15,0.05,1.0,full,4.0,0.00012,outputs/tuning/segformer/trials/trial_0035/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0035.yaml,outputs/tuning/segformer/results/trial_0035/train.json,best_miou,outputs/tuning/segformer/results/trial_0035,COMPLETE
36,0.7220458388328552,2026-06-10 12:20:57.843553,2026-06-10 12:58:14.912640,0 days 00:37:17.069087,0.15,0.05,1.0,full,4.0,0.00012,outputs/tuning/segformer/trials/trial_0036/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0036.yaml,outputs/tuning/segformer/results/trial_0036/train.json,best_miou,outputs/tuning/segformer/results/trial_0036,COMPLETE
37,0.7206255793571472,2026-06-10 12:58:15.082290,2026-06-10 13:35:33.541159,0 days 00:37:18.458869,0.15,0.05,1.0,full,4.0,0.00012,outputs/tuning/segformer/trials/trial_0037/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0037.yaml,outputs/tuning/segformer/results/trial_0037/train.json,best_miou,outputs/tuning/segformer/results/trial_0037,COMPLETE
38,0.7201324701309204,2026-06-10 13:35:33.722018,2026-06-10 14:12:29.728745,0 days 00:36:56.006727,0.15,0.05,1.0,full,4.0,0.00012,outputs/tuning/segformer/trials/trial_0038/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0038.yaml,outputs/tuning/segformer/results/trial_0038/train.json,best_miou,outputs/tuning/segformer/results/trial_0038,COMPLETE
39,0.7214834094047546,2026-06-10 14:12:29.872436,2026-06-10 14:49:24.770830,0 days 00:36:54.898394,0.15,0.05,1.0,full,4.0,0.00012,outputs/tuning/segformer/trials/trial_0039/checkpoints/best_miou.pth,outputs/tuning/segformer/configs/trial_0039.yaml,outputs/tuning/segformer/results/trial_0039/train.json,best_miou,outputs/tuning/segformer/results/trial_0039,COMPLETE
